datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,count_hat,dataset_type
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3.0,13.0,16.0,35.0969352722168,train
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8.0,32.0,40.0,27.776865005493164,train
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5.0,27.0,32.0,27.776865005493164,train
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3.0,10.0,13.0,24.560989379882812,train
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0.0,1.0,1.0,24.560989379882812,train
2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0.0,1.0,1.0,55.7058219909668,train
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2.0,0.0,2.0,27.776865005493164,train
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1.0,2.0,3.0,25.022388458251953,train
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1.0,7.0,8.0,24.560989379882812,train
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8.0,6.0,14.0,68.01802825927734,train
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12.0,24.0,36.0,84.44831085205078,train
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26.0,30.0,56.0,79.40709686279297,train
2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29.0,55.0,84.0,108.06900787353516,train
2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47.0,47.0,94.0,129.0061798095703,train
2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35.0,71.0,106.0,137.79959106445312,train
2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40.0,70.0,110.0,91.40760803222656,train
2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41.0,52.0,93.0,74.98625183105469,train
2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15.0,52.0,67.0,99.92613220214844,train
2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9.0,26.0,35.0,43.94451141357422,train
2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6.0,31.0,37.0,43.94451141357422,train
2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11.0,25.0,36.0,68.78053283691406,train
2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3.0,31.0,34.0,89.72920227050781,train
2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11.0,17.0,28.0,43.010868072509766,train
2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15.0,24.0,39.0,72.74931335449219,train
2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4.0,13.0,17.0,72.74931335449219,train
2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1.0,16.0,17.0,47.4552001953125,train
2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1.0,8.0,9.0,28.52349853515625,train
2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2.0,4.0,6.0,69.73621368408203,train
2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,2.0,1.0,3.0,69.73621368408203,train
2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0.0,2.0,2.0,50.81009292602539,train
2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0.0,1.0,1.0,108.10199737548828,train
2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0.0,8.0,8.0,83.20439147949219,train
2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,1.0,19.0,20.0,95.72547149658203,train
2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,7.0,46.0,53.0,89.2239990234375,train
2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,16.0,54.0,70.0,103.41870880126953,train
2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,20.0,73.0,93.0,111.23322296142578,train
2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,11.0,64.0,75.0,112.60066223144531,train
2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,4.0,55.0,59.0,79.81306457519531,train
2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,19.0,55.0,74.0,84.11994171142578,train
2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,9.0,67.0,76.0,86.33629608154297,train
2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,7.0,58.0,65.0,107.8827133178711,train
2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,10.0,43.0,53.0,117.49182891845703,train
2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,1.0,29.0,30.0,150.6812286376953,train
2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,5.0,17.0,22.0,108.77645874023438,train
2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,11.0,20.0,31.0,92.044921875,train
2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,0.0,9.0,9.0,88.76513671875,train
2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,0.0,8.0,8.0,64.14961242675781,train
2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,0.0,5.0,5.0,76.84455871582031,train
2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,0.0,2.0,2.0,64.19439697265625,train
2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,0.0,1.0,1.0,54.115699768066406,train
2011-01-03 05:00:00,1,0,1,1,6.56,6.82,47,19.0012,0.0,3.0,3.0,51.3033332824707,train
2011-01-03 06:00:00,1,0,1,1,5.74,5.305,50,26.0027,0.0,30.0,30.0,59.004215240478516,train
2011-01-03 07:00:00,1,0,1,1,5.74,6.82,50,12.998,1.0,63.0,64.0,62.32072830200195,train
2011-01-03 08:00:00,1,0,1,1,5.74,6.06,50,19.0012,1.0,153.0,154.0,54.34976577758789,train
2011-01-03 09:00:00,1,0,1,1,6.56,6.82,43,26.0027,7.0,81.0,88.0,69.96898651123047,train
2011-01-03 10:00:00,1,0,1,1,7.38,8.335,43,16.9979,11.0,33.0,44.0,55.66695022583008,train
2011-01-03 11:00:00,1,0,1,1,8.2,9.09,40,22.0028,10.0,41.0,51.0,91.77310180664062,train
2011-01-03 12:00:00,1,0,1,1,9.02,10.605,35,19.9995,13.0,48.0,61.0,89.376220703125,train
2011-01-03 13:00:00,1,0,1,1,9.84,10.605,35,19.0012,8.0,53.0,61.0,97.97245025634766,train
2011-01-03 14:00:00,1,0,1,1,10.66,12.12,30,19.0012,11.0,66.0,77.0,105.27491760253906,train
2011-01-03 15:00:00,1,0,1,1,10.66,12.12,30,16.9979,14.0,58.0,72.0,102.00131225585938,train
2011-01-03 16:00:00,1,0,1,1,10.66,12.12,30,16.9979,9.0,67.0,76.0,102.00131225585938,train
2011-01-03 17:00:00,1,0,1,1,9.84,11.365,30,15.0013,11.0,146.0,157.0,112.36468505859375,train
2011-01-03 18:00:00,1,0,1,1,9.84,12.88,32,7.0015,9.0,148.0,157.0,127.0635986328125,train
2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,0.0,8.0,102.0,110.0,77.22346496582031,train
2011-01-03 20:00:00,1,0,1,1,8.2,11.365,47,7.0015,3.0,49.0,52.0,76.60679626464844,train
2011-01-03 21:00:00,1,0,1,1,7.38,9.85,64,8.9981,3.0,49.0,52.0,74.46147155761719,train
2011-01-03 22:00:00,1,0,1,1,5.74,7.575,69,8.9981,0.0,20.0,20.0,57.67152786254883,train
2011-01-03 23:00:00,1,0,1,1,7.38,10.605,55,7.0015,1.0,11.0,12.0,64.30522155761719,train
2011-01-04 00:00:00,1,0,1,1,6.56,9.09,55,7.0015,0.0,5.0,5.0,59.57516860961914,train
2011-01-04 01:00:00,1,0,1,1,6.56,9.09,59,7.0015,0.0,2.0,2.0,58.99020004272461,train
2011-01-04 02:00:00,1,0,1,1,5.74,7.575,63,8.9981,0.0,1.0,1.0,46.784454345703125,train
2011-01-04 04:00:00,1,0,1,1,5.74,9.09,63,6.0032,0.0,2.0,2.0,33.80420684814453,train
2011-01-04 05:00:00,1,0,1,1,4.92,7.575,68,7.0015,0.0,4.0,4.0,43.523231506347656,train
2011-01-04 06:00:00,1,0,1,1,4.92,7.575,74,7.0015,0.0,36.0,36.0,53.205955505371094,train
2011-01-04 07:00:00,1,0,1,1,4.92,7.575,74,8.9981,2.0,92.0,94.0,67.37142181396484,train
2011-01-04 08:00:00,1,0,1,1,5.74,7.575,69,11.0014,2.0,177.0,179.0,73.97991943359375,train
2011-01-04 09:00:00,1,0,1,1,6.56,7.575,64,15.0013,2.0,98.0,100.0,64.2464828491211,train
2011-01-04 10:00:00,1,0,1,2,6.56,6.82,69,22.0028,5.0,37.0,42.0,47.37826156616211,train
2011-01-04 11:00:00,1,0,1,1,9.02,10.605,51,19.9995,7.0,50.0,57.0,75.8502426147461,train
2011-01-04 12:00:00,1,0,1,1,9.02,11.365,51,11.0014,12.0,66.0,78.0,76.94510650634766,train
2011-01-04 13:00:00,1,0,1,1,9.84,11.365,56,12.998,18.0,79.0,97.0,86.5601577758789,train
2011-01-04 14:00:00,1,0,1,1,10.66,12.88,52,15.0013,9.0,54.0,63.0,83.10809326171875,train
2011-01-04 15:00:00,1,0,1,1,11.48,13.635,52,16.9979,17.0,48.0,65.0,84.8290786743164,train
2011-01-04 16:00:00,1,0,1,1,12.3,14.395,49,16.9979,15.0,68.0,83.0,101.49226379394531,train
2011-01-04 17:00:00,1,0,1,1,11.48,13.635,48,15.0013,10.0,202.0,212.0,110.26738739013672,train
2011-01-04 18:00:00,1,0,1,1,10.66,12.88,48,12.998,3.0,179.0,182.0,99.65240478515625,train
2011-01-04 19:00:00,1,0,1,1,9.84,12.88,48,7.0015,2.0,110.0,112.0,82.75406646728516,train
2011-01-04 20:00:00,1,0,1,1,9.84,12.88,48,7.0015,1.0,53.0,54.0,82.75406646728516,train
2011-01-04 21:00:00,1,0,1,1,9.02,13.635,64,0.0,0.0,48.0,48.0,42.2374267578125,train
2011-01-04 22:00:00,1,0,1,1,9.02,12.88,64,6.0032,1.0,34.0,35.0,42.607852935791016,train
2011-01-04 23:00:00,1,0,1,1,8.2,11.365,69,6.0032,2.0,9.0,11.0,46.32588577270508,train
2011-01-05 00:00:00,1,0,1,1,8.2,12.88,64,0.0,0.0,6.0,6.0,36.7917366027832,train
2011-01-05 01:00:00,1,0,1,1,6.56,9.85,74,6.0032,0.0,6.0,6.0,40.97417068481445,train
2011-01-05 02:00:00,1,0,1,1,6.56,9.85,74,6.0032,0.0,2.0,2.0,40.97417068481445,train
2011-01-05 04:00:00,1,0,1,1,9.84,11.365,48,15.0013,0.0,2.0,2.0,72.90310668945312,train
2011-01-05 05:00:00,1,0,1,1,9.02,11.365,47,11.0014,0.0,3.0,3.0,76.1108169555664,train
